zeile_idx,edit_distanz_summe,gt_zeichen_summe,cer_zeile
1,3,95,0.0316
2,37,136,0.2721
3,15,80,0.1875
4,22,81,0.2716
5,21,89,0.236
6,5,92,0.0543
7,10,95,0.1053
8,20,98,0.2041
9,34,115,0.2957
10,0,100,0.0
11,9,81,0.1111
12,30,111,0.2703
13,30,106,0.283
14,22,125,0.176
15,48,134,0.3582
16,15,84,0.1786
17,24,93,0.2581
18,20,91,0.2198
19,9,73,0.1233
20,8,71,0.1127
21,10,93,0.1075
22,17,79,0.2152
23,5,80,0.0625
24,41,120,0.3417
25,22,101,0.2178
26,13,92,0.1413
27,59,134,0.4403
28,22,96,0.2292
29,27,99,0.2727
30,66,113,0.5841
31,41,95,0.4316
32,55,105,0.5238
33,31,96,0.3229
34,23,73,0.3151
35,31,93,0.3333
36,22,73,0.3014
37,57,70,0.8143
38,39,109,0.3578
39,45,103,0.4369
40,34,120,0.2833
41,9,99,0.0909
42,26,102,0.2549
43,17,86,0.1977
44,19,90,0.2111
45,29,97,0.299
46,59,71,0.831
47,67,112,0.5982
48,29,117,0.2479
49,26,92,0.2826
50,27,97,0.2784
51,33,96,0.3438
52,25,103,0.2427
53,45,97,0.4639
54,43,117,0.3675
55,34,84,0.4048
56,57,126,0.4524
57,19,92,0.2065
58,27,106,0.2547
59,31,101,0.3069
60,17,66,0.2576
61,5,83,0.0602
62,36,105,0.3429
63,23,102,0.2255
64,20,81,0.2469
65,57,104,0.5481
66,107,177,0.6045
67,41,109,0.3761
68,29,80,0.3625
69,9,88,0.1023
70,41,99,0.4141
71,7,72,0.0972
72,20,73,0.274
73,39,116,0.3362
74,15,85,0.1765
75,21,81,0.2593
76,47,91,0.5165
77,39,109,0.3578
78,18,78,0.2308
79,36,95,0.3789
80,5,39,0.1282
81,9,86,0.1047
82,20,89,0.2247
83,9,71,0.1268
84,13,61,0.2131
85,10,60,0.1667
86,18,87,0.2069
87,16,85,0.1882
88,21,79,0.2658
89,7,80,0.0875
90,7,80,0.0875
91,7,78,0.0897
92,10,92,0.1087
93,4,86,0.0465
94,5,77,0.0649
95,9,69,0.1304
96,14,69,0.2029
97,12,89,0.1348
98,28,108,0.2593
99,14,90,0.1556
100,34,96,0.3542
101,25,90,0.2778
102,30,100,0.3
103,10,57,0.1754
104,18,66,0.2727
105,35,97,0.3608
106,7,80,0.0875
107,10,72,0.1389
108,11,66,0.1667
109,46,81,0.5679
110,35,108,0.3241
111,37,106,0.3491
112,11,92,0.1196
113,12,87,0.1379
114,24,100,0.24
115,14,88,0.1591
116,17,76,0.2237
117,9,84,0.1071
118,41,87,0.4713
119,5,84,0.0595
120,9,72,0.125
